date,id,value
2005-09-01,p_nf_pretax_gross,13.160537573530204
2005-12-01,p_nf_pretax_gross,14.668322704338426
2006-03-01,p_nf_pretax_gross,14.80967168725795
2006-06-01,p_nf_pretax_gross,14.648223592187296
2006-09-01,p_nf_pretax_gross,15.592944352227395
2006-12-01,p_nf_pretax_gross,14.545200761733751
2007-03-01,p_nf_pretax_gross,13.741954009534748
2007-06-01,p_nf_pretax_gross,13.839668678725477
2007-09-01,p_nf_pretax_gross,12.481299789915152
2007-12-01,p_nf_pretax_gross,12.344920108668042
2008-03-01,p_nf_pretax_gross,11.349832253528406
2008-06-01,p_nf_pretax_gross,11.240327699671445
2008-09-01,p_nf_pretax_gross,12.618744576105561
2008-12-01,p_nf_pretax_gross,10.90906765775047
2009-03-01,p_nf_pretax_gross,10.291145808244396
2009-06-01,p_nf_pretax_gross,9.56192220680685
2009-09-01,p_nf_pretax_gross,10.28557194019855
2009-12-01,p_nf_pretax_gross,11.772205356217977
2010-03-01,p_nf_pretax_gross,12.88365646413194
2010-06-01,p_nf_pretax_gross,13.027347099072388
2010-09-01,p_nf_pretax_gross,14.297068770529203
2010-12-01,p_nf_pretax_gross,13.720867923060634
2011-03-01,p_nf_pretax_gross,12.539411773676292
2011-06-01,p_nf_pretax_gross,14.031913618719045
2011-09-01,p_nf_pretax_gross,14.2099842340596
2011-12-01,p_nf_pretax_gross,14.63849125490927
2012-03-01,p_nf_pretax_gross,14.616754280356652
2012-06-01,p_nf_pretax_gross,14.850597948579827
2012-09-01,p_nf_pretax_gross,14.336390543897938
2012-12-01,p_nf_pretax_gross,14.509590026023625
2013-03-01,p_nf_pretax_gross,15.185519197472711
2013-06-01,p_nf_pretax_gross,14.968431605861992
2013-09-01,p_nf_pretax_gross,14.705245586692657
2013-12-01,p_nf_pretax_gross,14.498705140261299
2014-03-01,p_nf_pretax_gross,13.637804642664353
2014-06-01,p_nf_pretax_gross,14.753900577717234
2014-09-01,p_nf_pretax_gross,15.630008555734332
2014-12-01,p_nf_pretax_gross,15.49270308864624
2015-03-01,p_nf_pretax_gross,14.768780648165905
2015-06-01,p_nf_pretax_gross,14.356823135150336
2015-09-01,p_nf_pretax_gross,14.646324092323185
2015-12-01,p_nf_pretax_gross,13.261995851053376
2016-03-01,p_nf_pretax_gross,14.327091161294092
2016-06-01,p_nf_pretax_gross,13.327347239937108
2016-09-01,p_nf_pretax_gross,13.276023803195171
2016-12-01,p_nf_pretax_gross,12.77223331256274
2017-03-01,p_nf_pretax_gross,13.16882656406417
2017-06-01,p_nf_pretax_gross,13.005365894026784
2017-09-01,p_nf_pretax_gross,12.631457985079544
2017-12-01,p_nf_pretax_gross,12.928345987745873
2018-03-01,p_nf_pretax_gross,12.992034579720494
2018-06-01,p_nf_pretax_gross,13.479221961907578
2018-09-01,p_nf_pretax_gross,13.521747674929056
2018-12-01,p_nf_pretax_gross,13.35988328535941
2019-03-01,p_nf_pretax_gross,12.550423602427738
2019-06-01,p_nf_pretax_gross,12.667429862185756
2019-09-01,p_nf_pretax_gross,13.182634197588047
2019-12-01,p_nf_pretax_gross,13.420520205106794
2020-03-01,p_nf_pretax_gross,11.990889242671766
2020-06-01,p_nf_pretax_gross,12.795786018388819
2020-09-01,p_nf_pretax_gross,17.464420813206864
2020-12-01,p_nf_pretax_gross,14.695204643124471
2021-03-01,p_nf_pretax_gross,16.61218031789737
2021-06-01,p_nf_pretax_gross,18.385527998886566
2021-09-01,p_nf_pretax_gross,17.583874709522696
2021-12-01,p_nf_pretax_gross,17.19739258605333
2022-03-01,p_nf_pretax_gross,16.424121817462307
2022-06-01,p_nf_pretax_gross,17.398610728005035
2022-09-01,p_nf_pretax_gross,17.485706707963597
2022-12-01,p_nf_pretax_gross,17.377668436830653
2023-03-01,p_nf_pretax_gross,17.651345482943217
2023-06-01,p_nf_pretax_gross,17.75540255110914
2023-09-01,p_nf_pretax_gross,18.162357140886172
2023-12-01,p_nf_pretax_gross,18.734593688214
2024-03-01,p_nf_pretax_gross,17.510432425727483
2024-06-01,p_nf_pretax_gross,17.96389414309498
